id,name,name_en,description,description_en,full_video_url,full_video_image_url,introduction,introduction_en,slug,slug_en,attribute_name,attribute_value
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,TYPE,STRENGTH
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,PRIMARY_MUSCLE,CHEST
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,SECONDARY_MUSCLE,TRICEPS
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,SECONDARY_MUSCLE,SHOULDERS
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,EQUIPMENT,BODY_ONLY
1,"Pompes","Push-ups","<p>Commencez en position de planche, les mains légèrement plus larges que les épaules.</p><p>Abaissez votre corps jusqu'à ce que votre poitrine touche presque le sol.</p><p>Poussez vers le haut jusqu'à revenir à la position de départ.</p><p>Gardez votre corps droit tout au long du mouvement.</p>","<p>Start in a plank position with your hands slightly wider than shoulder-width apart.</p><p>Lower your body until your chest nearly touches the floor.</p><p>Push back up to the starting position.</p><p>Keep your body straight throughout the movement.</p>",https://www.youtube.com/embed/IODxDxX7oi4?autoplay=1,https://img.youtube.com/vi/IODxDxX7oi4/hqdefault.jpg,"<p>Les <strong>pompes</strong> sont un exercice de musculation au poids du corps qui cible principalement les <strong>pectoraux</strong>, les <strong>triceps</strong> et les <strong>épaules</strong>. Excellent pour développer la force du haut du corps.</p>","<p><strong>Push-ups</strong> are a bodyweight strength exercise that primarily targets the <strong>chest</strong>, <strong>triceps</strong>, and <strong>shoulders</strong>. Great for building upper body strength.</p>",pompes,push-ups,MECHANICS_TYPE,COMPOUND
2,"Squats","Squats","<p>Tenez-vous debout, les pieds écartés à la largeur des épaules.</p><p>Abaissez votre corps en pliant les genoux et en poussant les hanches vers l'arrière.</p><p>Descendez jusqu'à ce que vos cuisses soient parallèles au sol.</p><p>Poussez avec vos talons pour revenir à la position de départ.</p>","<p>Stand with your feet shoulder-width apart.</p><p>Lower your body by bending your knees and pushing your hips back.</p><p>Descend until your thighs are parallel to the floor.</p><p>Push through your heels to return to the starting position.</p>",https://www.youtube.com/embed/YaXPRqUwItQ?autoplay=1,https://img.youtube.com/vi/YaXPRqUwItQ/hqdefault.jpg,"<p>Les <strong>squats</strong> sont un exercice fondamental qui cible les <strong>quadriceps</strong>, les <strong>fessiers</strong> et les <strong>ischio-jambiers</strong>. Excellent pour développer la force et la puissance des jambes.</p>","<p><strong>Squats</strong> are a fundamental exercise that targets the <strong>quadriceps</strong>, <strong>glutes</strong>, and <strong>hamstrings</strong>. Great for building leg strength and power.</p>",squats,squats,TYPE,STRENGTH
2,"Squats","Squats","<p>Tenez-vous debout, les pieds écartés à la largeur des épaules.</p><p>Abaissez votre corps en pliant les genoux et en poussant les hanches vers l'arrière.</p><p>Descendez jusqu'à ce que vos cuisses soient parallèles au sol.</p><p>Poussez avec vos talons pour revenir à la position de départ.</p>","<p>Stand with your feet shoulder-width apart.</p><p>Lower your body by bending your knees and pushing your hips back.</p><p>Descend until your thighs are parallel to the floor.</p><p>Push through your heels to return to the starting position.</p>",https://www.youtube.com/embed/YaXPRqUwItQ?autoplay=1,https://img.youtube.com/vi/YaXPRqUwItQ/hqdefault.jpg,"<p>Les <strong>squats</strong> sont un exercice fondamental qui cible les <strong>quadriceps</strong>, les <strong>fessiers</strong> et les <strong>ischio-jambiers</strong>. Excellent pour développer la force et la puissance des jambes.</p>","<p><strong>Squats</strong> are a fundamental exercise that targets the <strong>quadriceps</strong>, <strong>glutes</strong>, and <strong>hamstrings</strong>. Great for building leg strength and power.</p>",squats,squats,PRIMARY_MUSCLE,QUADRICEPS
2,"Squats","Squats","<p>Tenez-vous debout, les pieds écartés à la largeur des épaules.</p><p>Abaissez votre corps en pliant les genoux et en poussant les hanches vers l'arrière.</p><p>Descendez jusqu'à ce que vos cuisses soient parallèles au sol.</p><p>Poussez avec vos talons pour revenir à la position de départ.</p>","<p>Stand with your feet shoulder-width apart.</p><p>Lower your body by bending your knees and pushing your hips back.</p><p>Descend until your thighs are parallel to the floor.</p><p>Push through your heels to return to the starting position.</p>",https://www.youtube.com/embed/YaXPRqUwItQ?autoplay=1,https://img.youtube.com/vi/YaXPRqUwItQ/hqdefault.jpg,"<p>Les <strong>squats</strong> sont un exercice fondamental qui cible les <strong>quadriceps</strong>, les <strong>fessiers</strong> et les <strong>ischio-jambiers</strong>. Excellent pour développer la force et la puissance des jambes.</p>","<p><strong>Squats</strong> are a fundamental exercise that targets the <strong>quadriceps</strong>, <strong>glutes</strong>, and <strong>hamstrings</strong>. Great for building leg strength and power.</p>",squats,squats,SECONDARY_MUSCLE,GLUTES
2,"Squats","Squats","<p>Tenez-vous debout, les pieds écartés à la largeur des épaules.</p><p>Abaissez votre corps en pliant les genoux et en poussant les hanches vers l'arrière.</p><p>Descendez jusqu'à ce que vos cuisses soient parallèles au sol.</p><p>Poussez avec vos talons pour revenir à la position de départ.</p>","<p>Stand with your feet shoulder-width apart.</p><p>Lower your body by bending your knees and pushing your hips back.</p><p>Descend until your thighs are parallel to the floor.</p><p>Push through your heels to return to the starting position.</p>",https://www.youtube.com/embed/YaXPRqUwItQ?autoplay=1,https://img.youtube.com/vi/YaXPRqUwItQ/hqdefault.jpg,"<p>Les <strong>squats</strong> sont un exercice fondamental qui cible les <strong>quadriceps</strong>, les <strong>fessiers</strong> et les <strong>ischio-jambiers</strong>. Excellent pour développer la force et la puissance des jambes.</p>","<p><strong>Squats</strong> are a fundamental exercise that targets the <strong>quadriceps</strong>, <strong>glutes</strong>, and <strong>hamstrings</strong>. Great for building leg strength and power.</p>",squats,squats,SECONDARY_MUSCLE,HAMSTRINGS
